"question","respondent_id","response","theme"
"Why are you cancelling?","1779506","Temporarily scaling down services","Temporary break from platform"
"Why are you cancelling?","1779505","Temporary break","Temporary break from platform"
"Why are you cancelling?","1779504","Temporary disconnection","Temporary break from platform"
"Why are you cancelling?","1779503","Temporary out of work","Unemployed"
"Why are you cancelling?","1779502","terrible customer service","null"
"Why are you cancelling?","1779501","The constant price increases are ridiculous and greedy.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779501","The constant price increases are ridiculous and greedy.","Constant price rise / increase"
"Why are you cancelling?","1779500","The cost is going up much","Constant price rise / increase"
"Why are you cancelling?","1779499","The cost is the biggest deal","Too expensive"
"Why are you cancelling?","1779498","The fact you only give 10 months to reactivate makes me never want to come back again. I will consider it if you email me that you are rectifying this issue. If not, good bye forever.","null"
"Why are you cancelling?","1779497","The greed of the company disgusts me.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779496","The increase of the bill and the news about paying extra money when i share my subscription with my family outside the states and I don't like the idea that you want limit my power of using my subscription.","Object to family/household restriction"
"Why are you cancelling?","1779496","The increase of the bill and the news about paying extra money when i share my subscription with my family outside the states and I don't like the idea that you want limit my power of using my subscription.","Object to additional charges"
"Why are you cancelling?","1779496","The increase of the bill and the news about paying extra money when i share my subscription with my family outside the states and I don't like the idea that you want limit my power of using my subscription.","Constant price rise / increase"
"Why are you cancelling?","1779495","The last price increase was I am willing pay.","Constant price rise / increase"
"Why are you cancelling?","1779494","The new sharing fee. You will loose more from greed","Object to sharing restrictions"
"Why are you cancelling?","1779494","The new sharing fee. You will loose more from greed","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779493","The new upcoming addtional price increases stop this and youll have me back as a customer.","Constant price rise / increase"
"Why are you cancelling?","1779492","The price continues to rise with no end in sight.","Constant price rise / increase"
"Why are you cancelling?","1779491","The price has gone up annually.","Constant price rise / increase"
"Why are you cancelling?","1779490","The price has increased so much. Can�t keep with it.","Constant price rise / increase"
"Why are you cancelling?","1779489","The price has raised way to high! I will not be renewing for a long while!","Constant price rise / increase"
"Why are you cancelling?","1779488","the price hike and stopping sharing","Object to sharing restrictions"
"Why are you cancelling?","1779488","the price hike and stopping sharing","Constant price rise / increase"
"Why are you cancelling?","1779487","The price hike was 43% in the span of 5 months and your selection has drastically deteriorated. Member since 09 gone just like that!","Constant price rise / increase"
"Why are you cancelling?","1779486","The price increase every year seems ok but when nothing really good is added, it is not ok.","Constant price rise / increase"
"Why are you cancelling?","1779485","The price increase since I became a member is ridiculous","Constant price rise / increase"
"Why are you cancelling?","1779484","The price increases","Constant price rise / increase"
"Why are you cancelling?","1779483","The price increases + the upcoming change where we will have to pay a fee to use my subscription in different locations is ridiculous and anti-consumer.","Object to family/household restriction"
"Why are you cancelling?","1779483","The price increases + the upcoming change where we will have to pay a fee to use my subscription in different locations is ridiculous and anti-consumer.","Constant price rise / increase"
"Why are you cancelling?","1779482","The price just got to far out of hand","Too expensive"
"Why are you cancelling?","1779481","THE PRICE KEEPS INCREASING","Constant price rise / increase"
"Why are you cancelling?","1779480","The service vs price is no longer worth it. Too expensive now","Too expensive"
"Why are you cancelling?","1779479","The service isn�t worth the cost.","Too expensive"
"Why are you cancelling?","1779478","Think my subscription is compromised","Account gets hacked"
"Why are you cancelling?","1779477","This is going to be about 4 times the amount it was when I started.","Too expensive"
"Why are you cancelling?","1779476","This is ridiculous! Price gouging!","Too expensive"
"Why are you cancelling?","1779475","Time for a break","Temporary break from platform"
"Why are you cancelling?","1779474","Tired of the pay increases every year","Constant price rise / increase"
"Why are you cancelling?","1779473","Tired of your company playing games with subscribers","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779472","To busy","Don't use it enough / anymore"
"Why are you cancelling?","1779471","To expensive","Too expensive"
"Why are you cancelling?","1779470","too easily hacked-not secure","Account gets hacked"
"Why are you cancelling?","1779469","Too expensive","Too expensive"
"Why are you cancelling?","1779466","Too expensive for me right now, maybe later","Too expensive"
"Why are you cancelling?","1779465","Too expensive for what�s offered","Too expensive"
"Why are you cancelling?","1779464","Too expensive, stupid new rule","New policy generally"
"Why are you cancelling?","1779464","Too expensive, stupid new rule","Too expensive"
"Why are you cancelling?","1779463","Too EXPENSIVE!","Too expensive"
"Why are you cancelling?","1779462","Too greedy","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779461","Too many charges added on.","Object to additional charges"
"Why are you cancelling?","1779460","Too many new rules and fees and raised prices. Just not worth the money anymore.","New policy generally"
"Why are you cancelling?","1779460","Too many new rules and fees and raised prices. Just not worth the money anymore.","Constant price rise / increase"
"Why are you cancelling?","1779459","Too many on my subscription","null"
"Why are you cancelling?","1779458","too many people using my subscription","null"
"Why are you cancelling?","1779457","Too many price hikes and the newest hike for charging extra to share an subscription","Object to additional charges"
"Why are you cancelling?","1779457","Too many price hikes and the newest hike for charging extra to share an subscription","Object to sharing restrictions"
"Why are you cancelling?","1779457","Too many price hikes and the newest hike for charging extra to share an subscription","Constant price rise / increase"
"Why are you cancelling?","1779456","too many price increases","Constant price rise / increase"
"Why are you cancelling?","1779455","Too many price increases","Constant price rise / increase"
"Why are you cancelling?","1779454","Too many price increases.","Constant price rise / increase"
"Why are you cancelling?","1779453","Too many price increases. Going with a different service.","Prefer competition"
"Why are you cancelling?","1779453","Too many price increases. Going with a different service.","Constant price rise / increase"
"Why are you cancelling?","1779452","too many price increments and now you will be checking where we access the subscription. Your greed is why I am canceling. Good Luck!","Object to family/household restriction"
"Why are you cancelling?","1779452","too many price increments and now you will be checking where we access the subscription. Your greed is why I am canceling. Good Luck!","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779452","too many price increments and now you will be checking where we access the subscription. Your greed is why I am canceling. Good Luck!","Constant price rise / increase"
"Why are you cancelling?","1779451","Too many subscriptions, I'll be back","Temporary break from platform"
"Why are you cancelling?","1779450","Trying to reduce bills as much as possible for 6 months","Reducing expenses / financial constraints"
"Why are you cancelling?","1779449","trying to save money","Reducing expenses / financial constraints"
"Why are you cancelling?","1779448","Trying to save money","Reducing expenses / financial constraints"
"Why are you cancelling?","1779447","Trying to save money right now","Reducing expenses / financial constraints"
"Why are you cancelling?","1779446","Two price increases in 6 months","Constant price rise / increase"
"Why are you cancelling?","1779445","Two price increases in short amount of time","Constant price rise / increase"
"Why are you cancelling?","1779444","Unable to change my billing date. Customer service no help at all.","Problems with billing"
"Why are you cancelling?","1779443","unable to share subscription with family","Object to family/household restriction"
"Why are you cancelling?","1779442","Unemployed and financial issues","Unemployed"
"Why are you cancelling?","1779442","Unemployed and financial issues","Reducing expenses / financial constraints"
"Why are you cancelling?","1779441","User passed away","Account owner passed away"
"Why are you cancelling?","1779440","using a different membership","Prefer competition"
"Why are you cancelling?","1779439","using another platform for awhile - I will be back","Temporary break from platform"
"Why are you cancelling?","1779438","using other subscription","Prefer competition"
"Why are you cancelling?","1779437","using other apps at this time","Prefer competition"
"Why are you cancelling?","1779436","Waiting until pay day","Temporary break from platform"
"Why are you cancelling?","1779435","Waste of money and you raising the cost","Constant price rise / increase"
"Why are you cancelling?","1779434","Waste of time and money. Would rather spend time learning.","Too expensive"
"Why are you cancelling?","1779433","Way to many price hikes over the past few years. Also not a fan of you charging extra money to share subscriptions because your greedy.","Object to additional charges"
"Why are you cancelling?","1779433","Way to many price hikes over the past few years. Also not a fan of you charging extra money to share subscriptions because your greedy.","Object to sharing restrictions"
"Why are you cancelling?","1779433","Way to many price hikes over the past few years. Also not a fan of you charging extra money to share subscriptions because your greedy.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779433","Way to many price hikes over the past few years. Also not a fan of you charging extra money to share subscriptions because your greedy.","Constant price rise / increase"
"Why are you cancelling?","1779432","way too expensive","Too expensive"
"Why are you cancelling?","1779431","way too expensive for the service given, not worth the amount.","Too expensive"
"Why are you cancelling?","1779430","We feel like there is no customer loyalty for a long time subscriber. Prices keep increasing at alarming rates and we only feel like it will keep going.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779430","We feel like there is no customer loyalty for a long time subscriber. Prices keep increasing at alarming rates and we only feel like it will keep going.","Constant price rise / increase"
"Why are you cancelling?","1779429","We have 2 subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779428","We have 3 subscriptions in 1 household. Only needed 1","Consolidating / shifting accounts"
"Why are you cancelling?","1779427","We have not been using it as much as we'd like to","Don't use it enough / anymore"
"Why are you cancelling?","1779426","We have too many subscriptions lol","null"
"Why are you cancelling?","1779425","When I can pay for it I will. You keep charging my card and it declined.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779424","Why the price increase? __","Constant price rise / increase"
"Why are you cancelling?","1779423","Wife has an subscription and don�t need 2 subscriptions.","Consolidating / shifting accounts"
"Why are you cancelling?","1779422","Wife has subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779421","Wife passed away","Account owner passed away"
"Why are you cancelling?","1779420","Will be back in a week","Temporary break from platform"
"Why are you cancelling?","1779419","will be getting the service through my phone provider","Consolidating / shifting accounts"
"Why are you cancelling?","1779418","will come back in may","Temporary break from platform"
"Why are you cancelling?","1779417","Will come in future","Temporary break from platform"
"Why are you cancelling?","1779416","Will join back later","Temporary break from platform"
"Why are you cancelling?","1779415","Will not pay price increase","Constant price rise / increase"
"Why are you cancelling?","1779414","will replace with a cheaper service","Prefer competition"
"Why are you cancelling?","1779413","will restart under new email","Temporary break from platform"
"Why are you cancelling?","1779412","Will resume later in the year.","Temporary break from platform"
"Why are you cancelling?","1779411","With the rise in fuel and other costs, I'm having to cut back on entertainment.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779845","Do not use often","Don't use it enough / anymore"
"Why are you cancelling?","1779844","do not want anymore","Don't use it enough / anymore"
"Why are you cancelling?","1779843","Do you use enough to warrant cost","Don't use it enough / anymore"
"Why are you cancelling?","1779842","Don't agree with price increase.","Constant price rise / increase"
"Why are you cancelling?","1779841","Don't have enough money to get it anymore","Don't use it enough / anymore"
"Why are you cancelling?","1779840","don't need it currently","Don't use it enough / anymore"
"Why are you cancelling?","1779839","Don't need right now","Don't use it enough / anymore"
"Why are you cancelling?","1779838","Don't use enough anymore","Don't use it enough / anymore"
"Why are you cancelling?","1779837","Don't use.","Don't use it enough / anymore"
"Why are you cancelling?","1779836","Don't want it anymore","Don't use it enough / anymore"
"Why are you cancelling?","1779835","Don�t agree with price increase","Constant price rise / increase"
"Why are you cancelling?","1779834","Don�t have the money","Too expensive"
"Why are you cancelling?","1779833","Don�t like political virtue signaling.","null"
"Why are you cancelling?","1779832","Don�t need two subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779831","Double subscriptions with same payment different emails","Consolidating / shifting accounts"
"Why are you cancelling?","1779830","Downsizing","Reducing expenses / financial constraints"
"Why are you cancelling?","1779829","Economy hardship","Reducing expenses / financial constraints"
"Why are you cancelling?","1779828","Extra charge for sign in. My daughter is in college!!!! And your going to charge me when she uses ut. No thank you. You're not worth it anyways. Good bye","Object to family/household restriction"
"Why are you cancelling?","1779828","Extra charge for sign in. My daughter is in college!!!! And your going to charge me when she uses ut. No thank you. You're not worth it anyways. Good bye","Object to additional charges"
"Why are you cancelling?","1779828","Extra charge for sign in. My daughter is in college!!!! And your going to charge me when she uses ut. No thank you. You're not worth it anyways. Good bye","Too expensive"
"Why are you cancelling?","1779827","Fianc�e has subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779826","Finance decision","Reducing expenses / financial constraints"
"Why are you cancelling?","1779825","Finances","Reducing expenses / financial constraints"
"Why are you cancelling?","1779824","Finances","Reducing expenses / financial constraints"
"Why are you cancelling?","1779823","Financial","Reducing expenses / financial constraints"
"Why are you cancelling?","1779822","Financial Cut Backs","Reducing expenses / financial constraints"
"Why are you cancelling?","1779821","Financial Hardship","Reducing expenses / financial constraints"
"Why are you cancelling?","1779820","Financial hardship","Reducing expenses / financial constraints"
"Why are you cancelling?","1779819","Financial hardship","Reducing expenses / financial constraints"
"Why are you cancelling?","1779818","Financial reasons","Reducing expenses / financial constraints"
"Why are you cancelling?","1779817","Financial situation changed.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779816","financial situation has changed","Reducing expenses / financial constraints"
"Why are you cancelling?","1779815","For the time being","Temporary break from platform"
"Why are you cancelling?","1779814","future issues expected with sharing profiles, price hikes","Object to sharing restrictions"
"Why are you cancelling?","1779814","future issues expected with sharing profiles, price hikes","Constant price rise / increase"
"Why are you cancelling?","1779813","getting another platform instead","Prefer competition"
"Why are you cancelling?","1779812","Getting married and will be combining accounts","Consolidating / shifting accounts"
"Why are you cancelling?","1779810","Getting too expensive and not worth the money Thanks but no thanks","Too expensive"
"Why are you cancelling?","1779809","Getting too Greedy for ya Girl!","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779808","go to live with gf","Moving / changing locations"
"Why are you cancelling?","1779807","Going to not be using it for a few months","Temporary break from platform"
"Why are you cancelling?","1779806","got laid off, will be back when i can.","Temporary break from platform"
"Why are you cancelling?","1779806","got laid off, will be back when i can.","Unemployed"
"Why are you cancelling?","1779805","got married and my wife has her own subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779804","Got married my husband and I now share subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779803","Got to get back on my feet","Reducing expenses / financial constraints"
"Why are you cancelling?","1779802","GREED","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779801","greedy company","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779800","Greedy company","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779799","Greedy Corporation","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779798","Hacked","Account gets hacked"
"Why are you cancelling?","1779797","hard time financially need to cancel some subscriptions","Reducing expenses / financial constraints"
"Why are you cancelling?","1779796","hardly use it but price keeps increasing.","Don't use it enough / anymore"
"Why are you cancelling?","1779796","hardly use it but price keeps increasing.","Constant price rise / increase"
"Why are you cancelling?","1779795","Have 2 subscriptions and only need 1","Consolidating / shifting accounts"
"Why are you cancelling?","1779794","Have a different subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779793","have more than one subscription aparently","Consolidating / shifting accounts"
"Why are you cancelling?","1779792","having $ issues.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779791","competitor is better","Prefer competition"
"Why are you cancelling?","1779790","Health Issues","null"
"Why are you cancelling?","1779789","Health issues","null"
"Why are you cancelling?","1779788","Horrible business decisions.","New policy generally"
"Why are you cancelling?","1779787","Others are cheaper","Prefer competition"
"Why are you cancelling?","1779786","I am flat broke","Reducing expenses / financial constraints"
"Why are you cancelling?","1779785","I am retired and non a fixed income.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779784","I am trying to cut my spending as much as possible for now","Reducing expenses / financial constraints"
"Why are you cancelling?","1779783","I can afford this but I think the price is way too high and am not willing to pay it","Too expensive"
"Why are you cancelling?","1779782","I can't afford it at this time but will start again.","Temporary break from platform"
"Why are you cancelling?","1779781","I cant share my subscription with family outside my hosehold","Object to family/household restriction"
"Why are you cancelling?","1779780","I do not agree with the price increases and policy changes","Constant price rise / increase"
"Why are you cancelling?","1779779","I do not like","Don't use it enough / anymore"
"Why are you cancelling?","1779778","I do not use enough as the price continues to go up","Don't use it enough / anymore"
"Why are you cancelling?","1779778","I do not use enough as the price continues to go up","Constant price rise / increase"
"Why are you cancelling?","1779777","I don't have the money this month due to losing my job","Unemployed"
"Why are you cancelling?","1779777","I don't have the money this month due to losing my job","Reducing expenses / financial constraints"
"Why are you cancelling?","1779776","I don�t use it enough","Don't use it enough / anymore"
"Why are you cancelling?","1779775","I get it free with my phone service","Consolidating / shifting accounts"
"Why are you cancelling?","1779774","I get more on another service for less.","Prefer competition"
"Why are you cancelling?","1779773","i got hacked","Account gets hacked"
"Why are you cancelling?","1779581","Price change. Lack of acceptance of the reality that is subscription sharing.","Object to sharing restrictions"
"Why are you cancelling?","1779581","Price change. Lack of acceptance of the reality that is subscription sharing.","Constant price rise / increase"
"Why are you cancelling?","1779580","Price continues to climb with no added benefit and other services have more and better prices.","Prefer competition"
"Why are you cancelling?","1779580","Price continues to climb with no added benefit and other services have more and better prices.","Constant price rise / increase"
"Why are you cancelling?","1779579","Price hike was too much.","Constant price rise / increase"
"Why are you cancelling?","1779578","Price hikes are getting to be too much, everything else in my life is already expensive","Constant price rise / increase"
"Why are you cancelling?","1779577","Price Increase and garbage quality, why should I keep paying blindly ","Constant price rise / increase"
"Why are you cancelling?","1779576","price increase and horrible customer service, what am I paying for??","Constant price rise / increase"
"Why are you cancelling?","1779575","Price increase and I have to choose between this and putting my kids into activities that are already expensive. YOU made me have to choose one or the other","Constant price rise / increase"
"Why are you cancelling?","1779574","Price increase and I cant afford you anymore","Reducing expenses / financial constraints"
"Why are you cancelling?","1779574","Price increase and I cant afford you anymore","Constant price rise / increase"
"Why are you cancelling?","1779573","Price increase after being a loyal customer since 2010","Constant price rise / increase"
"Why are you cancelling?","1779572","Price increase and to manservices to pick from. Shouldn't a competitive market drive price down...","Constant price rise / increase"
"Why are you cancelling?","1779571","Price increase and your tracking people and how they access their subscription.","New policy generally"
"Why are you cancelling?","1779571","Price increase and your tracking people and how they access their subscription.","Constant price rise / increase"
"Why are you cancelling?","1779570","Price Increase caused me to cancel","Constant price rise / increase"
"Why are you cancelling?","1779569","Price increase is absurd","Constant price rise / increase"
"Why are you cancelling?","1779568","PRICE INCREASE IS TOO MUCH!!","Constant price rise / increase"
"Why are you cancelling?","1779567","Price increase isn't worth it","Constant price rise / increase"
"Why are you cancelling?","1779566","Price increase isnt worth what is offered","Constant price rise / increase"
"Why are you cancelling?","1779565","Price increases and terrible customer service","Constant price rise / increase"
"Why are you cancelling?","1779564","Price increases and charges for people using my subscription","Object to sharing restrictions"
"Why are you cancelling?","1779564","Price increases and charges for people using my subscription","Constant price rise / increase"
"Why are you cancelling?","1779563","Price increases are too often.","Constant price rise / increase"
"Why are you cancelling?","1779562","price increases don't reflect quality of service","Constant price rise / increase"
"Why are you cancelling?","1779561","Price is becoming too high for the quality","Too expensive"
"Why are you cancelling?","1779560","Price is increasing","Constant price rise / increase"
"Why are you cancelling?","1779559","Price is whack.","Too expensive"
"Why are you cancelling?","1779558","Price just keeps climbing","Constant price rise / increase"
"Why are you cancelling?","1779557","Price keeps changing. Benefits don't. Been with you too long for this nonsense.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779557","Price keeps changing. Benefits don't. Been with you too long for this nonsense.","Constant price rise / increase"
"Why are you cancelling?","1779556","Price keeps increasing","Constant price rise / increase"
"Why are you cancelling?","1779555","Price keeps rising and service is not as good as it was before.","Constant price rise / increase"
"Why are you cancelling?","1779554","Price raises","Constant price rise / increase"
"Why are you cancelling?","1779553","price too high","Too expensive"
"Why are you cancelling?","1779552","Price went up and I have has since 2010 or Earlier sorry oneday","Constant price rise / increase"
"Why are you cancelling?","1779551","Prices are going up","Constant price rise / increase"
"Why are you cancelling?","1779550","Prices are rising to much. This is the second time.","Constant price rise / increase"
"Why are you cancelling?","1779549","Prices are up in everything","Constant price rise / increase"
"Why are you cancelling?","1779548","Prices continue to go up, and yet you continue to try to squeeze even more money out of people","Constant price rise / increase"
"Why are you cancelling?","1779547","Raising prices after a 40% profit increase last year and starting to charge for additional profiles is just greedy.","Object to sharing restrictions"
"Why are you cancelling?","1779547","Raising prices after a 40% profit increase last year and starting to charge for additional profiles is just greedy.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779547","Raising prices after a 40% profit increase last year and starting to charge for additional profiles is just greedy.","Constant price rise / increase"
"Why are you cancelling?","1779546","Barely use the service, money down the drain","Don't use it enough / anymore"
"Why are you cancelling?","1779545","Rarely used","Don't use it enough / anymore"
"Why are you cancelling?","1779544","Rate increase and garbage customer service, do you even care about your customers?","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779544","Rate increase and garbage customer service, do you even care about your customers?","Constant price rise / increase"
"Why are you cancelling?","1779410","You are about to charge for have extra subscriptions. Me and my family have different taste but I pay my bill, it�s extortion and you�re a disgusting and greedy company.","Object to family/household restriction"
"Why are you cancelling?","1779410","You are about to charge for have extra subscriptions. Me and my family have different taste but I pay my bill, it�s extortion and you�re a disgusting and greedy company.","Object to additional charges"
"Why are you cancelling?","1779410","You are about to charge for have extra subscriptions. Me and my family have different taste but I pay my bill, it�s extortion and you�re a disgusting and greedy company.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779409","you are constantly raising prices. i will take my business elsewhere","Prefer competition"
"Why are you cancelling?","1779409","you are constantly raising prices. i will take my business elsewhere","Constant price rise / increase"
"Why are you cancelling?","1779408","You are going up on prices","Constant price rise / increase"
"Why are you cancelling?","1779407","You are money hungry","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779406","You are politically biased.","null"
"Why are you cancelling?","1779405","you aren't focused on customers anymore","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779404","You charge too much","Too expensive"
"Why are you cancelling?","1779403","You continue to raise your prices","Constant price rise / increase"
"Why are you cancelling?","1779402","You guys are making business decisions that don�t make sense at a time when it doesn�t make sense. Make sense, and we�ll resubscribe.","null"
"Why are you cancelling?","1779401","You guys keep raising the prices","Constant price rise / increase"
"Why are you cancelling?","1779400","You have gotten too greedy and raised the price too many times","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779400","You have gotten too greedy and raised the price too many times","Constant price rise / increase"
"Why are you cancelling?","1779399","you just keep raising the price","Constant price rise / increase"
"Why are you cancelling?","1779398","You keep adding fees and new prices, I don�t really want it no more","Constant price rise / increase"
"Why are you cancelling?","1779396","You keep increasing prices.","Constant price rise / increase"
"Why are you cancelling?","1779395","You keep jacking the price up every 12 days.","Constant price rise / increase"
"Why are you cancelling?","1779394","You keep raising prices and are now charging extra for other people using your subscription, other services are better and cheaper and the only reason I kept it was for the other people using it so if you�re gonna charge for that I�m out","Prefer competition"
"Why are you cancelling?","1779394","You keep raising prices and are now charging extra for other people using your subscription, other services are better and cheaper and the only reason I kept it was for the other people using it so if you�re gonna charge for that I�m out","Object to additional charges"
"Why are you cancelling?","1779394","You keep raising prices and are now charging extra for other people using your subscription, other services are better and cheaper and the only reason I kept it was for the other people using it so if you�re gonna charge for that I�m out","Constant price rise / increase"
"Why are you cancelling?","1779393","You keep raising prices. it's not my fault that you don't have enough customers and I have to pay the price. It's just not worth it to keep you.","Constant price rise / increase"
"Why are you cancelling?","1779392","You keep raising the damn price. I'm not made of money.","Constant price rise / increase"
"Why are you cancelling?","1779391","You keep upping the price and now i cant pay","Constant price rise / increase"
"Why are you cancelling?","1779390","You need to stop increasing the price on long time users.","Constant price rise / increase"
"Why are you cancelling?","1779389","You raise prices and nothing is new. Nothing new.","Constant price rise / increase"
"Why are you cancelling?","1779388","You raised the price","Constant price rise / increase"
"Why are you cancelling?","1779387","You raised your price almost 50%. I also don�t like the fact that you offer the price I used to pay once I tried to cancel. Shady!","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779387","You raised your price almost 50%. I also don�t like the fact that you offer the price I used to pay once I tried to cancel. Shady!","Constant price rise / increase"
"Why are you cancelling?","1779386","You raised your prices again","Constant price rise / increase"
"Why are you cancelling?","1779385","You want to charge me for my kids using MY subscription, how is that even fair?","Object to family/household restriction"
"Why are you cancelling?","1779384","You're being greedy at every opportunity and I won't support it","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779383","You're being greedy. If you cared about us, you wouldn't keep hiking up prices that were high to begin with. You'll only understand what this means when enough of us leave. ","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779382","You're not going to allow family sharing","Object to family/household restriction"
"Why are you cancelling?","1779381","You�re just greedy","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779380","Your charging for sharing. ""SHARING IS CARING!!""","Object to sharing restrictions"
"Why are you cancelling?","1779379","Your company has far too many price increases. It seems like year after year or bi-annually you are increasing prices. Too much. I�ll consider other entertaining options.","Prefer competition"
"Why are you cancelling?","1779379","Your company has far too many price increases. It seems like year after year or bi-annually you are increasing prices. Too much. I�ll consider other entertaining options.","Constant price rise / increase"
"Why are you cancelling?","1779378","Your constant price creep is why. I keep paying more for less. I'm done.","Constant price rise / increase"
"Why are you cancelling?","1779377","your corporate greed","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779376","Your new price system and raised rates are not workable for me","Constant price rise / increase"
"Why are you cancelling?","1779375","Your price change buggin","Constant price rise / increase"
"Why are you cancelling?","1779374","your price hikes are absurd","Constant price rise / increase"
"Why are you cancelling?","1779373","Your price is just not worth keeping anymore especially with the pop up currently shoves iny face forcing me to make a choice for the more expensive subscription. So you lost a subscriber have a nice life","Too expensive"
"Why are you cancelling?","1779372","Your pricing is terrible. You keep increasing prices and the addition of sharing charges is greedy.","Object to sharing restrictions"
"Why are you cancelling?","1779372","Your pricing is terrible. You keep increasing prices and the addition of sharing charges is greedy.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779372","Your pricing is terrible. You keep increasing prices and the addition of sharing charges is greedy.","Constant price rise / increase"
"Why are you cancelling?","1779371","Your profits are up and you're *raising* my price? Are you kidding me?","Constant price rise / increase"
"Why are you cancelling?","1779370","Your rates are higher than others who do the same thing","Prefer competition"
"Why are you cancelling?","1779370","Your rates are higher than others who do the same thing","Too expensive"
"Why are you cancelling?","1779369","Your stupid price hike again","Constant price rise / increase"
